AzInput,ElInput,Time
180,180,4.88e-07
184.796,180,0.020284
189.302,180,0.0405209
193.266,180,0.0607509
196.46,180,0.0809771
198.7,180,0.101205
199.854,180,0.121435
199.855,180,0.141665
198.705,180,0.161893
196.469,180,0.182119
193.277,180,0.202346
189.314,180,0.222578
184.812,180,0.242806
180.028,180,0.26304
175.245,180,0.283268
170.737,180,0.303496
166.767,180,0.323724
163.565,180,0.343949
161.316,180,0.364179
160.152,180,0.384408
160.139,180,0.404634
161.28,180,0.424862
163.506,180,0.445091
166.69,180,0.465319
170.646,180,0.485547
175.145,180,0.505776
179.926,180,0.526006
184.711,180,0.546235
189.223,180,0.566462
193.202,180,0.586706
196.413,180,0.606942
198.67,180,0.627174
199.843,180,0.647402
199.865,180,0.667633
198.734,180,0.68786
196.516,180,0.708088
193.339,180,0.728317
189.388,180,0.748543
184.893,180,0.768772
180.113,180,0.789002
175.327,180,0.809228
170.812,180,0.829457
166.83,180,0.849684
163.613,180,0.869914
161.346,180,0.890141
160.162,180,0.910369
160.13,180,0.930597
161.25,180,0.950826
163.459,180,0.971054
166.628,180,0.991286
170.572,180,1.01151
175.063,180,1.03174
179.841,180,1.05197
184.628,180,1.07219
189.147,180,1.09242
193.134,180,1.11265
196.36,180,1.13287
198.636,180,1.1531
199.831,180,1.17333
199.876,180,1.19355
198.767,180,1.21378
196.569,180,1.23401
193.41,180,1.25423
189.473,180,1.27446
184.981,180,1.29471
180.202,180,1.31494
175.414,180,1.33517
170.892,180,1.3554
166.898,180,1.37562
163.665,180,1.39585
161.379,180,1.41608
160.174,180,1.4363
160.12,180,1.45653
161.218,180,1.47676
163.407,180,1.49699
166.559,180,1.51721
170.491,180,1.53744
174.974,180,1.55767
179.749,180,1.57789
184.538,180,1.59812
189.064,180,1.61835
193.064,180,1.63857
196.306,180,1.6588
198.603,180,1.67903
199.819,180,1.69926
199.886,180,1.71948
198.798,180,1.73971
196.62,180,1.75994
193.478,180,1.78016
189.554,180,1.80039
185.075,180,1.82062
180.301,180,1.84084
175.511,180,1.86107
170.981,180,1.88129
166.974,180,1.90152
163.723,180,1.92175
161.416,180,1.94197
160.188,180,1.9622
160.109,180,1.98243
161.188,180,2.0027
163.359,180,2.02294
166.495,180,2.04317
170.414,180,2.06339
174.89,180,2.08362
179.662,180,2.10385
184.454,180,2.12408
188.987,180,2.1443
193,180,2.16453
196.257,180,2.18476
198.571,180,2.20499
199.808,180,2.22521
199.895,180,2.24545
198.827,180,2.26567
196.667,180,2.2859
193.54,180,2.30613
189.627,180,2.32636
185.156,180,2.34658
180.385,180,2.36681
175.601,180,2.387
171.062,180,2.40723
167.043,180,2.42746
163.775,180,2.44768
161.45,180,2.46791
160.2,180,2.48814
160.1,180,2.50836
161.154,180,2.52859
163.301,180,2.54882
166.418,180,2.56904
170.322,180,2.58927
174.788,180,2.6095
179.557,180,2.62972
184.352,180,2.64995
188.894,180,2.67018
192.919,180,2.69041
196.195,180,2.71063
198.534,180,2.73088
199.793,180,2.75111
199.905,180,2.77133
198.861,180,2.79156
196.723,180,2.81179
193.615,180,2.83202
189.716,180,2.85224
185.255,180,2.87247
180.488,180,2.89269
175.693,180,2.91292
171.148,180,2.93314
167.116,180,2.95337
163.832,180,2.9736
161.486,180,2.99382
160.214,180,3.01405
160.09,180,3.03428
161.122,180,3.05451
163.251,180,3.07475
166.35,180,3.09497
170.242,180,3.1152
174.7,180,3.13543
179.466,180,3.15566
184.263,180,3.17589
188.811,180,3.19611
192.85,180,3.21634
196.142,180,3.23657
198.497,180,3.25679
199.78,180,3.27703
199.914,180,3.29726
198.892,180,3.31748
196.775,180,3.33771
193.684,180,3.35793
189.8,180,3.37816
185.346,180,3.39839
180.583,180,3.41861
175.785,180,3.43884
171.232,180,3.45907
167.187,180,3.4793
163.886,180,3.49953
161.521,180,3.51975
160.228,180,3.53998
160.082,180,3.56021
161.092,180,3.58044
163.199,180,3.60066
166.281,180,3.62089
170.158,180,3.64112
174.608,180,3.66134
179.37,180,3.68157
184.169,180,3.7018
188.726,180,3.72203
192.776,180,3.74225
196.085,180,3.76248
198.462,180,3.78272
199.765,180,3.80295
199.922,180,3.82317
198.924,180,3.8434
196.826,180,3.86363
193.753,180,3.88385
189.881,180,3.90408
185.436,180,3.92431
180.676,180,3.94454
175.877,180,3.96476
171.317,180,3.98499
167.26,180,4.00522
163.943,180,4.02544
161.558,180,4.04567
160.242,180,4.0659
160.073,180,4.08612
161.061,180,4.10635
163.145,180,4.12656
166.211,180,4.1468
170.075,180,4.16703
174.516,180,4.18726
179.275,180,4.20749
184.075,180,4.22771
188.639,180,4.24794
192.702,180,4.26817
196.028,180,4.2884
198.424,180,4.30862
199.75,180,4.32885
199.931,180,4.34908
198.962,180,4.36921
196.897,180,4.38939
193.858,180,4.40956
190.011,180,4.42977
185.581,180,4.45
180.826,180,4.47023
176.023,180,4.49045
171.448,180,4.5107
167.371,180,4.53093
164.029,180,4.55116
161.614,180,4.57138
160.265,180,4.59161
160.062,180,4.61184
161.015,180,4.63206
163.07,180,4.65229
166.107,180,4.67252
169.95,180,4.69274
174.377,180,4.71297
179.129,180,4.73319
183.933,180,4.75342
188.509,180,4.77365
192.59,180,4.79388
195.94,180,4.8141
198.366,180,4.83433
199.727,180,4.85456
199.942,180,4.87479
199.001,180,4.89501
196.957,180,4.91523
193.93,180,4.93546
190.094,180,4.95569
185.672,180,4.97591
180.923,180,4.99613
176.119,180,5.01636
171.54,180,5.03659
167.452,180,5.05681
164.092,180,5.07703
161.655,180,5.09726
160.281,180,5.11752
160.054,180,5.13775
160.985,180,5.15797
163.018,180,5.1782
166.038,180,5.19843
169.872,180,5.21868
174.292,180,5.23892
179.041,180,5.25914
183.847,180,5.27937
188.428,180,5.29959
192.52,180,5.31982
195.886,180,5.34005
198.331,180,5.36027
199.712,180,5.3805
199.949,180,5.40072
199.029,180,5.42095
197.005,180,5.44117
193.994,180,5.4614
190.171,180,5.48163
185.736,180,5.50195
180.985,180,5.52219
176.179,180,5.54242
171.591,180,5.56267
167.493,180,5.58291
164.124,180,5.60313
161.676,180,5.62336
160.291,180,5.64359
160.05,180,5.66381
160.966,180,5.68404
162.987,180,5.70426
165.994,180,5.72449
169.814,180,5.74471
174.225,180,5.76494
178.971,180,5.78516
183.777,180,5.80539
188.364,180,5.82562
192.465,180,5.84584
195.844,180,5.86607
198.303,180,5.88629
199.7,180,5.90652
199.954,180,5.92675
199.05,180,5.94697
197.041,180,5.9672
194.043,180,5.98743
190.23,180,6.00766
185.824,180,6.02788
181.079,180,6.04811
176.273,180,6.06834
171.681,180,6.08857
167.573,180,6.10879
164.187,180,6.12902
161.717,180,6.14924
160.309,180,6.16947
160.043,180,6.18969
160.935,180,6.20992
162.933,180,6.23015
165.921,180,6.25037
169.726,180,6.2706
174.123,180,6.29081
178.866,180,6.31104
183.673,180,6.33126
188.268,180,6.35149
192.383,180,6.37172
195.78,180,6.39195
198.26,180,6.41217
199.682,180,6.4324
199.961,180,6.45263
199.082,180,6.47285
197.095,180,6.49308
194.117,180,6.51331
190.32,180,6.53353
185.924,180,6.55376
181.184,180,6.57398
176.376,180,6.59421
171.778,180,6.61444
167.653,180,6.63468
164.247,180,6.65492
161.758,180,6.67514
160.327,180,6.69537
160.037,180,6.71559
160.905,180,6.73582
162.881,180,6.75605
165.851,180,6.77627
169.641,180,6.7965
174.033,180,6.81673
178.77,180,6.83695
183.579,180,6.85718
188.18,180,6.8774
192.307,180,6.89763
195.72,180,6.91785
198.221,180,6.93808
199.664,180,6.9583
199.966,180,6.97853
199.11,180,6.99876
197.146,180,7.01899
194.186,180,7.03921
190.403,180,7.05944
186.017,180,7.07967
181.281,180,7.09989
176.471,180,7.12012
171.866,180,7.14035
167.733,180,7.16058
164.311,180,7.1808
161.8,180,7.20103
160.346,180,7.22124
160.031,180,7.24148
160.875,180,7.26171
162.828,180,7.28193
165.778,180,7.30216
169.554,180,7.32239
173.935,180,7.34261
178.668,180,7.36284
183.478,180,7.38306
188.087,180,7.40329
192.227,180,7.42352
195.657,180,7.44374
198.178,180,7.46397
199.645,180,7.4842
199.972,180,7.50442
199.14,180,7.52465
197.198,180,7.54488
194.257,180,7.5651
190.49,180,7.58533
186.113,180,7.60556
181.383,180,7.62578
176.572,180,7.64601
171.96,180,7.66623
167.814,180,7.68646
164.368,180,7.70673
161.837,180,7.72697
160.362,180,7.74719
160.026,180,7.76742
160.849,180,7.78765
162.782,180,7.80787
165.714,180,7.82809
169.476,180,7.84832
173.848,180,7.86855
178.577,180,7.88877
183.389,180,7.909
188.003,180,7.92922
192.154,180,7.94945
195.6,180,7.96968
198.14,180,7.98991
199.628,180,8.01013
199.977,180,8.03036
199.166,180,8.05059
197.244,180,8.07082
194.32,180,8.09104
190.567,180,8.11127
186.199,180,8.1315
181.473,180,8.15172
176.662,180,8.17194
172.043,180,8.19217
167.886,180,8.2124
164.438,180,8.23259
161.885,180,8.25281
160.384,180,8.27304
160.021,180,8.29327
160.817,180,8.3135
162.735,180,8.33379
165.649,180,8.35402
169.395,180,8.37424
173.758,180,8.39447
178.487,180,8.41471
183.301,180,8.43494
187.923,180,8.45517
192.084,180,8.4754
195.545,180,8.49563
198.103,180,8.51586
199.611,180,8.53608
199.981,180,8.55631
199.191,180,8.57654
197.287,180,8.59677
194.381,180,8.617
190.64,180,8.63722
186.281,180,8.65745
181.558,180,8.67768
176.745,180,8.6979
172.12,180,8.71813
167.953,180,8.73836
164.485,180,8.75859
161.917,180,8.77881
160.399,180,8.79904
160.017,180,8.81926
160.795,180,8.83949
162.688,180,8.85972
165.585,180,8.87995
169.318,180,8.90017
173.671,180,8.9204
178.392,180,8.94063
183.206,180,8.96085
187.834,180,8.98108
192.007,180,9.00131
195.484,180,9.02154
198.061,180,9.04176
199.592,180,9.06199
199.985,180,9.08222
199.218,180,9.10244
197.334,180,9.12269
194.443,180,9.14293
190.716,180,9.16316
186.367,180,9.18339
181.649,180,9.20361
176.835,180,9.22384
172.204,180,9.24407
168.026,180,9.26429
164.543,180,9.28452
161.957,180,9.30474
160.417,180,9.32497
160.014,180,9.3452
160.77,180,9.36542
162.642,180,9.38565
165.521,180,9.40587
169.242,180,9.42611
173.586,180,9.44634
178.302,180,9.46656
183.117,180,9.48679
187.75,180,9.50702
191.934,180,9.52724
195.426,180,9.54747
198.022,180,9.5677
199.573,180,9.58792
199.988,180,9.60815
199.243,180,9.62838
197.381,180,9.64861
194.511,180,9.66884
190.799,180,9.68907
186.46,180,9.70929
181.746,180,9.72952
176.931,180,9.74975
172.294,180,9.76997
168.104,180,9.7902
164.605,180,9.81043
161.997,180,9.83067
160.435,180,9.85091
160.011,180,9.87114
160.746,180,9.89136
162.598,180,9.91159
165.46,180,9.93182
169.165,180,9.95204
173.5,180,9.97227
178.211,180,9.9925
183.027,180,10.0127
187.668,180,10.033
191.863,180,10.0532
195.37,180,10.0734
197.984,180,10.0936
199.555,180,10.1139
199.991,180,10.1341
199.266,180,10.1543
197.424,180,10.1746
194.568,180,10.1948
190.868,180,10.215
186.537,180,10.2353
181.827,180,10.2555
177.011,180,10.2757
172.368,180,10.296
168.168,180,10.3162
164.655,180,10.3364
162.033,180,10.3566
160.453,180,10.3769
160.008,180,10.3971
160.723,180,10.4173
162.557,180,10.4376
165.403,180,10.4578
169.097,180,10.478
173.424,180,10.4982
178.132,180,10.5185
