AzInput,ElInput,Time
180,180,4.92e-07
180.255,180,0.0202734
180.508,180,0.0404998
180.76,180,0.0607295
181.01,180,0.0809593
181.258,180,0.10119
181.502,180,0.121419
181.743,180,0.141648
181.978,180,0.161872
182.209,180,0.182103
182.434,180,0.202326
182.653,180,0.222555
182.865,180,0.242784
183.07,180,0.263017
183.266,180,0.283247
183.454,180,0.303476
183.634,180,0.323705
183.804,180,0.343934
183.964,180,0.36417
184.113,180,0.384404
184.253,180,0.404634
184.381,180,0.424863
184.498,180,0.445092
184.603,180,0.465323
184.696,180,0.485552
184.777,180,0.505779
184.846,180,0.526008
184.902,180,0.546238
184.946,180,0.566468
184.977,180,0.586697
184.995,180,0.606928
185,180,0.627168
184.992,180,0.647405
184.971,180,0.667641
184.938,180,0.68787
184.891,180,0.708102
184.832,180,0.728331
184.761,180,0.74856
184.677,180,0.76879
184.581,180,0.78902
184.473,180,0.809257
184.354,180,0.829486
184.224,180,0.849717
184.082,180,0.869949
183.93,180,0.890178
183.768,180,0.910406
183.596,180,0.930633
183.415,180,0.95086
183.225,180,0.971088
183.026,180,0.991317
182.82,180,1.01154
182.607,180,1.03179
182.386,180,1.05202
182.16,180,1.07225
181.928,180,1.09248
181.691,180,1.11271
181.45,180,1.13294
181.205,180,1.15316
180.957,180,1.17339
180.706,180,1.19362
180.454,180,1.21384
180.2,180,1.23407
179.946,180,1.2543
179.692,180,1.27452
179.439,180,1.29475
179.187,180,1.31498
178.937,180,1.33521
178.69,180,1.35544
178.447,180,1.37567
178.207,180,1.39589
177.973,180,1.41612
177.743,180,1.43635
177.519,180,1.45658
177.302,180,1.4768
177.091,180,1.49703
176.888,180,1.51726
176.694,180,1.53749
176.507,180,1.55772
176.33,180,1.57794
176.162,180,1.59817
176.004,180,1.6184
175.857,180,1.63863
175.72,180,1.65886
175.594,180,1.67909
175.48,180,1.69931
175.377,180,1.71954
175.286,180,1.73979
175.207,180,1.76002
175.141,180,1.78025
175.087,180,1.80047
175.046,180,1.82071
175.018,180,1.84094
175.003,180,1.86118
175.001,180,1.88141
175.011,180,1.90165
175.035,180,1.92188
175.071,180,1.94211
175.12,180,1.96234
175.182,180,1.98257
175.256,180,2.0028
175.342,180,2.02302
175.44,180,2.04325
175.55,180,2.06344
175.672,180,2.08368
175.805,180,2.10391
175.949,180,2.12414
176.103,180,2.14436
176.267,180,2.16459
176.441,180,2.18482
176.624,180,2.20505
176.816,180,2.22527
177.016,180,2.2455
177.223,180,2.26573
177.438,180,2.28596
177.66,180,2.30619
177.887,180,2.32641
178.12,180,2.34664
178.358,180,2.36687
178.6,180,2.3871
178.846,180,2.40732
179.095,180,2.42755
179.346,180,2.4478
179.599,180,2.46803
179.853,180,2.48826
180.107,180,2.50849
180.361,180,2.52872
180.614,180,2.54895
180.865,180,2.56918
181.114,180,2.58941
181.36,180,2.60963
181.603,180,2.62986
181.842,180,2.65009
182.076,180,2.67032
182.304,180,2.69055
182.527,180,2.71077
182.742,180,2.731
182.951,180,2.75123
183.153,180,2.77146
183.346,180,2.79169
183.53,180,2.81187
183.705,180,2.8321
183.871,180,2.85233
184.027,180,2.87256
184.172,180,2.89278
184.307,180,2.91301
184.43,180,2.93324
184.542,180,2.95346
184.643,180,2.97369
184.731,180,2.99392
184.807,180,3.01415
184.871,180,3.03438
184.922,180,3.05461
184.96,180,3.07484
184.986,180,3.09507
184.999,180,3.11529
184.998,180,3.13552
184.985,180,3.15576
184.959,180,3.176
184.92,180,3.19623
184.868,180,3.21646
184.804,180,3.23669
184.728,180,3.25692
184.639,180,3.27715
184.538,180,3.29738
184.426,180,3.31761
184.302,180,3.33784
184.166,180,3.35807
184.021,180,3.3783
183.865,180,3.3985
183.698,180,3.41873
183.523,180,3.43896
183.338,180,3.45919
183.144,180,3.47941
182.943,180,3.49964
182.733,180,3.51987
182.517,180,3.5401
182.294,180,3.56033
182.066,180,3.58056
181.831,180,3.60079
181.593,180,3.62102
181.35,180,3.64125
181.103,180,3.66147
180.854,180,3.6817
180.603,180,3.70194
180.349,180,3.72217
180.096,180,3.7424
179.841,180,3.76263
179.588,180,3.78286
179.335,180,3.80308
179.084,180,3.82331
178.835,180,3.84355
178.589,180,3.8638
178.347,180,3.88403
178.11,180,3.90426
177.877,180,3.92449
177.65,180,3.94472
177.428,180,3.96495
177.214,180,3.98518
177.006,180,4.00541
176.807,180,4.02564
176.615,180,4.04587
176.433,180,4.0661
176.259,180,4.08633
176.095,180,4.10656
175.942,180,4.12679
175.799,180,4.14702
175.666,180,4.16725
175.545,180,4.18748
175.435,180,4.20775
175.337,180,4.22799
175.252,180,4.24822
175.178,180,4.26845
175.117,180,4.28868
175.069,180,4.30891
175.033,180,4.32915
175.01,180,4.34938
175,180,4.36961
175.003,180,4.38984
175.019,180,4.41007
175.048,180,4.4303
175.09,180,4.45053
175.144,180,4.47076
175.211,180,4.49099
175.29,180,4.51122
175.382,180,4.53144
175.485,180,4.55168
175.6,180,4.57191
175.726,180,4.59215
175.864,180,4.61238
176.012,180,4.63261
176.17,180,4.65284
176.339,180,4.67307
176.516,180,4.6933
176.703,180,4.71352
176.898,180,4.73375
177.102,180,4.75398
177.312,180,4.77421
177.53,180,4.79444
177.754,180,4.81466
177.984,180,4.83489
178.219,180,4.85512
178.459,180,4.87535
178.703,180,4.89558
178.95,180,4.91582
179.2,180,4.93605
179.452,180,4.95628
179.705,180,4.97651
179.959,180,4.99674
180.213,180,5.01697
180.467,180,5.03719
180.719,180,5.05742
180.97,180,5.07765
181.218,180,5.09788
181.463,180,5.11811
181.704,180,5.13834
181.94,180,5.15857
182.172,180,5.1788
182.398,180,5.19903
182.618,180,5.21925
182.831,180,5.23948
183.037,180,5.25971
183.235,180,5.27994
183.424,180,5.30017
183.605,180,5.32039
183.776,180,5.34063
183.938,180,5.36086
184.09,180,5.38109
184.23,180,5.40131
184.36,180,5.42154
184.479,180,5.44177
184.586,180,5.462
184.682,180,5.48223
184.765,180,5.50253
184.836,180,5.52277
184.894,180,5.54299
184.94,180,5.56322
184.973,180,5.58345
184.993,180,5.60369
185,180,5.62391
184.994,180,5.64415
184.976,180,5.66439
184.944,180,5.68462
184.9,180,5.70484
184.843,180,5.72507
184.773,180,5.7453
184.691,180,5.76553
184.597,180,5.78576
184.492,180,5.80599
184.374,180,5.82621
184.245,180,5.84644
184.106,180,5.86668
183.955,180,5.88691
183.795,180,5.90714
183.624,180,5.92737
183.445,180,5.9476
183.256,180,5.96785
183.059,180,5.98808
182.854,180,6.00827
182.642,180,6.0285
182.423,180,6.04873
182.197,180,6.06896
181.966,180,6.08919
181.73,180,6.10942
181.489,180,6.12964
181.245,180,6.14987
180.997,180,6.1701
180.747,180,6.19033
180.495,180,6.21056
180.241,180,6.23079
179.987,180,6.25102
179.733,180,6.27125
179.48,180,6.29148
179.228,180,6.31171
178.978,180,6.33194
178.73,180,6.35217
178.486,180,6.37239
178.246,180,6.39263
178.01,180,6.41285
177.78,180,6.43309
177.555,180,6.45332
177.336,180,6.47355
177.125,180,6.49377
176.92,180,6.51401
176.724,180,6.53424
176.536,180,6.55447
176.358,180,6.57471
176.188,180,6.59493
176.029,180,6.61516
175.88,180,6.63539
175.741,180,6.65563
175.613,180,6.67587
175.497,180,6.6961
175.392,180,6.71634
175.3,180,6.73657
175.219,180,6.7568
175.151,180,6.77703
175.095,180,6.79727
175.052,180,6.8175
175.022,180,6.83773
175.005,180,6.85797
175,180,6.8782
175.009,180,6.89843
175.03,180,6.91867
175.064,180,6.9389
175.111,180,6.95912
175.171,180,6.97936
175.243,180,6.99959
175.328,180,7.01983
175.424,180,7.04006
175.532,180,7.0603
175.652,180,7.08053
175.783,180,7.10076
175.925,180,7.12099
176.078,180,7.14122
