AzInput,ElInput,Time
180,180,4.27e-07
180.509,180,0.0202729
181.011,180,0.0405115
181.503,180,0.0607411
181.98,180,0.0809903
182.436,180,0.101232
182.867,180,0.121462
183.268,180,0.141694
183.635,180,0.161923
183.965,180,0.182152
184.253,180,0.202383
184.498,180,0.222612
184.697,180,0.242841
184.846,180,0.26307
184.946,180,0.283299
184.995,180,0.303529
184.992,180,0.323759
184.937,180,0.343989
184.832,180,0.364219
184.677,180,0.384449
184.473,180,0.404679
184.223,180,0.424909
183.929,180,0.445138
183.595,180,0.465367
183.224,180,0.485595
182.819,180,0.505824
182.386,180,0.526053
181.927,180,0.546283
181.449,180,0.566512
180.956,180,0.586742
180.452,180,0.606973
179.945,180,0.6272
179.438,180,0.647427
178.936,180,0.667656
178.446,180,0.687887
177.971,180,0.708114
177.518,180,0.728345
177.09,180,0.748571
176.693,180,0.768799
176.329,180,0.789045
176.003,180,0.809275
175.719,180,0.829507
175.479,180,0.849737
175.285,180,0.869966
175.141,180,0.890196
175.046,180,0.910426
175.003,180,0.930654
175.011,180,0.950892
175.071,180,0.97113
175.182,180,0.991362
175.343,180,1.01159
175.551,180,1.03182
175.806,180,1.05205
176.104,180,1.07228
176.442,180,1.09251
176.817,180,1.11274
177.226,180,1.13299
177.663,180,1.15323
178.123,180,1.17345
178.603,180,1.19368
179.098,180,1.21391
179.602,180,1.23414
180.11,180,1.25437
180.617,180,1.2746
181.117,180,1.29483
181.606,180,1.31506
182.078,180,1.33528
182.529,180,1.35551
182.954,180,1.37574
183.348,180,1.39597
183.708,180,1.41619
184.029,180,1.43642
184.309,180,1.45665
184.544,180,1.47688
184.732,180,1.49711
184.872,180,1.51734
184.961,180,1.53756
184.999,180,1.55779
184.985,180,1.57802
184.92,180,1.59825
184.803,180,1.61847
184.638,180,1.6387
184.424,180,1.65893
184.165,180,1.67915
183.862,180,1.69938
183.52,180,1.71961
183.142,180,1.73984
182.731,180,1.76007
182.291,180,1.7803
181.828,180,1.80053
181.347,180,1.82075
180.85,180,1.841
180.346,180,1.86124
179.837,180,1.88147
179.331,180,1.9017
178.832,180,1.92192
178.344,180,1.94215
177.874,180,1.96238
177.426,180,1.98261
177.004,180,2.00283
176.613,180,2.02306
176.257,180,2.04329
175.94,180,2.06352
175.665,180,2.08375
175.434,180,2.10398
175.251,180,2.12421
175.117,180,2.14443
175.033,180,2.16466
175,180,2.1849
175.02,180,2.20514
175.09,180,2.22537
175.212,180,2.2456
175.383,180,2.26583
175.601,180,2.28606
175.865,180,2.30629
176.172,180,2.32652
176.518,180,2.34674
176.9,180,2.36697
177.315,180,2.3872
177.757,180,2.40743
178.222,180,2.42766
178.705,180,2.44789
179.202,180,2.46811
179.707,180,2.48834
180.215,180,2.50857
180.721,180,2.5288
181.22,180,2.54904
181.706,180,2.56927
182.174,180,2.5895
182.62,180,2.60973
183.039,180,2.62996
183.426,180,2.65019
183.778,180,2.67041
184.091,180,2.69063
184.362,180,2.71087
184.587,180,2.73109
184.765,180,2.75132
184.894,180,2.77155
184.973,180,2.79178
185,180,2.812
184.975,180,2.83223
184.899,180,2.85246
184.773,180,2.87269
184.597,180,2.89292
184.374,180,2.91314
184.105,180,2.93337
183.794,180,2.9536
183.444,180,2.97383
183.058,180,2.99406
182.641,180,3.01429
182.197,180,3.03452
181.729,180,3.05474
181.244,180,3.07497
180.746,180,3.09519
180.241,180,3.11542
179.733,180,3.13564
179.227,180,3.15587
178.73,180,3.17609
178.246,180,3.19632
177.78,180,3.21655
177.336,180,3.23677
176.92,180,3.25702
176.536,180,3.27725
176.188,180,3.29748
175.879,180,3.31771
175.613,180,3.33793
175.392,180,3.35816
175.219,180,3.37839
175.095,180,3.39861
175.022,180,3.41884
175,180,3.43906
175.03,180,3.45929
175.111,180,3.47952
175.243,180,3.49974
175.423,180,3.51996
175.651,180,3.54019
175.924,180,3.56041
176.239,180,3.58064
176.593,180,3.60087
176.982,180,3.6211
177.403,180,3.64132
177.85,180,3.66155
178.319,180,3.68178
178.805,180,3.702
179.304,180,3.72223
179.811,180,3.74246
180.319,180,3.76268
180.823,180,3.78291
181.32,180,3.80314
181.802,180,3.82337
182.266,180,3.84359
182.707,180,3.86382
183.12,180,3.88405
183.5,180,3.90427
183.845,180,3.9245
184.149,180,3.94473
184.411,180,3.96496
184.628,180,3.98524
184.796,180,4.00547
184.915,180,4.02569
184.983,180,4.04593
184.999,180,4.06616
184.964,180,4.08639
184.878,180,4.10661
184.741,180,4.12684
184.555,180,4.14706
184.322,180,4.16729
184.045,180,4.18751
183.726,180,4.20774
183.368,180,4.22796
182.976,180,4.24819
182.552,180,4.26841
182.103,180,4.28863
181.632,180,4.30886
181.144,180,4.32909
180.644,180,4.34931
180.137,180,4.36954
179.629,180,4.38977
179.125,180,4.41
178.63,180,4.43022
178.149,180,4.45045
177.687,180,4.47068
177.249,180,4.4909
176.839,180,4.51113
176.463,180,4.53136
176.122,180,4.55158
175.822,180,4.57181
175.565,180,4.59203
175.353,180,4.61226
175.19,180,4.63249
175.076,180,4.65271
175.013,180,4.67294
175.002,180,4.69319
175.042,180,4.71341
175.134,180,4.73364
175.276,180,4.75387
175.466,180,4.77409
175.704,180,4.79432
175.985,180,4.81455
176.309,180,4.83477
176.67,180,4.855
177.066,180,4.87523
177.492,180,4.89545
177.944,180,4.91568
178.417,180,4.93591
178.907,180,4.95614
179.408,180,4.97637
179.915,180,4.9966
180.422,180,5.01683
180.926,180,5.03706
181.42,180,5.05728
181.899,180,5.07751
182.359,180,5.09774
182.794,180,5.11797
183.201,180,5.13819
183.574,180,5.15842
183.91,180,5.17865
184.206,180,5.19888
184.459,180,5.2191
184.666,180,5.23933
184.824,180,5.25955
184.933,180,5.27978
184.99,180,5.30002
184.996,180,5.32024
184.951,180,5.34047
184.854,180,5.3607
184.707,180,5.38092
184.512,180,5.40115
184.27,180,5.42137
183.984,180,5.4416
183.656,180,5.46182
183.291,180,5.48205
182.891,180,5.50236
182.461,180,5.5226
182.007,180,5.54283
181.532,180,5.56305
181.041,180,5.58328
180.539,180,5.6035
180.032,180,5.62373
179.524,180,5.64395
179.022,180,5.66418
178.529,180,5.6844
178.054,180,5.70454
177.597,180,5.72472
177.166,180,5.74489
176.763,180,5.7651
176.393,180,5.78532
176.06,180,5.80555
175.768,180,5.82578
175.52,180,5.846
175.317,180,5.86623
175.164,180,5.88645
