Azimuth,Elevator,Time
179.988962,179.937396,0.0202144
179.988962,179.920207,0.040469
179.988962,180.000421,0.060633
179.988962,180.527542,0.0808651
179.988962,181.438545,0.101099
179.988962,182.297982,0.121366
179.988962,183.054286,0.141642
179.988962,183.839238,0.161901
179.988962,184.566895,0.182127
179.988962,185.328928,0.202335
179.988962,186.050855,0.22256
179.988962,186.795700,0.242814
179.988962,187.511898,0.263056
179.988962,188.222365,0.283244
179.988962,188.915644,0.30351
179.988962,189.603194,0.3237
179.988962,190.279284,0.343915
179.988962,190.920996,0.364126
179.988962,191.574168,0.384372
179.988962,192.175774,0.40456
179.988962,192.800298,0.424799
179.988962,193.373256,0.445023
179.988962,193.957673,0.46524
179.988962,194.467605,0.485435
179.988962,195.017645,0.505615
179.988962,195.510388,0.525833
179.988962,196.003132,0.546091
179.988962,196.444310,0.566321
179.988962,196.891217,0.586593
179.988962,197.269369,0.606804
179.988962,197.704817,0.627074
179.988962,197.979837,0.647295
179.988962,198.352259,0.667496
179.988962,198.627279,0.687612
179.988962,198.902299,0.707733
179.988962,199.154400,0.727849
179.988962,199.320558,0.748025
179.988962,199.549741,0.768243
179.988962,199.670062,0.788493
179.988962,199.819031,0.808729
179.988962,199.870597,0.828957
179.988962,200.036755,0.849208
179.988962,200.031025,0.869417
179.988962,200.031025,0.889665
179.988962,199.996648,0.909901
179.988962,199.933623,0.930124
179.988962,199.824761,0.950379
179.988962,199.761735,0.970622
179.988962,199.544011,0.990821
179.988962,199.486716,1.01107
179.988962,199.154400,1.03128
179.988962,199.097104,1.05157
179.988962,198.718952,1.07184
179.988962,198.581442,1.09212
179.988962,198.174642,1.11239
179.988962,197.911082,1.13266
179.988962,197.481363,1.15286
179.988962,197.183425,1.17311
179.988962,196.742248,1.19337
179.988962,196.341177,1.21359
179.988962,195.842704,1.23381
179.988962,195.458822,1.25406
179.988962,194.908783,1.27425
179.988962,194.438957,1.29449
179.988962,193.877459,1.31471
179.988962,193.356067,1.33488
179.988962,192.754461,1.35508
179.988962,192.192963,1.37531
179.988962,191.574168,1.39554
179.988962,190.955374,1.41574
179.988962,190.342309,1.43597
179.988962,189.654760,1.45619
179.988962,189.030236,1.47644
179.988962,188.314039,1.49667
179.988962,187.643678,1.51691
179.988962,186.921751,1.53713
179.988962,186.222743,1.55736
179.988962,185.483627,1.5776
179.988962,184.761700,1.59786
179.988962,184.016855,1.61812
179.988962,183.266280,1.63839
179.988962,182.292252,1.65866
179.988962,181.845345,1.67893
179.988962,181.037475,1.69915
179.988962,180.218145,1.71938
179.988962,179.501948,1.73965
179.988962,178.699807,1.75986
179.988962,177.977880,1.78006
179.988962,177.192928,1.80024
179.988962,176.453812,1.82042
179.988962,175.697508,1.84065
179.988962,174.952663,1.86086
179.988962,174.219277,1.88109
179.988962,173.480161,1.90134
179.988962,172.769694,1.92153
179.988962,172.059226,1.94177
179.988962,171.348758,1.96203
179.988962,170.661209,1.9822
179.988962,169.985119,2.00234
179.988962,169.326217,2.02244
179.988962,168.684504,2.0426
179.988962,168.042792,2.06281
179.988962,167.458375,2.08304
179.988962,166.839580,2.10322
179.988962,166.283811,2.12339
179.988962,165.710854,2.14366
179.988962,165.189462,2.16387
179.988962,164.679529,2.18409
179.988962,164.175327,2.20432
179.988962,163.745608,2.22458
179.988962,163.264324,2.24482
179.988962,162.880442,2.26506
179.988962,162.462183,2.2853
179.988962,162.141326,2.3055
179.988962,161.780363,2.32572
179.988962,161.442318,2.34599
179.988962,161.230324,2.36623
179.988962,160.880819,2.38651
179.988962,160.462560,2.40673
179.988962,160.462560,2.42697
179.988962,160.433912,2.4472
179.988962,160.170352,2.46742
179.988962,160.170352,2.48765
179.988962,160.124515,2.50789
179.988962,159.958357,2.52816
179.988962,159.958357,2.54841
179.988962,159.958357,2.56865
179.988962,160.009923,2.58893
179.988962,160.090138,2.60918
179.988962,160.233377,2.62942
179.988962,160.307861,2.64967
179.988962,160.531315,2.66985
179.988962,160.628718,2.6901
179.988962,160.943845,2.71031
179.988962,161.081355,2.73052
179.988962,161.379293,2.75069
179.988962,161.688690,2.77087
179.988962,161.975169,2.79099
179.988962,162.324673,2.81118
179.988962,162.679907,2.83139
179.988962,163.098166,2.85159
179.988962,163.447670,2.8718
179.988962,163.928955,2.89205
179.988962,164.375862,2.91224
179.988962,164.834228,2.93249
179.988962,165.361349,2.95275
179.988962,165.871282,2.97303
179.988962,166.421321,2.99329
179.988962,166.959902,3.01357
179.988962,167.578696,3.03379
179.988962,168.140195,3.05392
179.988962,168.787637,3.07417
179.988962,169.394972,3.09442
179.988962,170.053874,3.11464
179.988962,170.707045,3.13483
179.988962,171.388865,3.15501
179.988962,172.059226,3.1752
179.988962,172.769694,3.19546
179.988962,173.474432,3.2157
179.988962,174.196358,3.23595
179.988962,174.929744,3.25617
179.988962,175.657401,3.27641
179.988962,176.619970,3.29662
179.988962,177.089795,3.31686
179.988962,177.863288,3.33705
179.988962,178.688348,3.35725
179.988962,179.393086,3.37744
179.988962,180.195227,3.39764
179.988962,180.934342,3.41783
179.988962,181.719294,3.43804
179.988962,182.452680,3.45828
179.988962,183.208985,3.47858
179.988962,183.976748,3.49883
179.988962,184.704404,3.51908
179.988962,185.460709,3.53932
179.988962,186.199824,3.55961
179.988962,186.927481,3.57986
179.988962,187.643678,3.60012
179.988962,188.342686,3.62037
179.988962,189.053154,3.64068
179.988962,189.723515,3.66095
179.988962,190.399605,3.68119
179.988962,191.047047,3.70146
179.988962,191.688760,3.72173
179.988962,192.301825,3.742
179.988962,192.932078,3.76229
179.988962,193.476388,3.78257
179.988962,194.072264,3.80284
179.988962,194.576467,3.82311
179.988962,195.137966,3.84332
179.988962,195.602062,3.86353
179.988962,196.094805,3.88368
179.988962,196.547442,3.90387
179.988962,196.954242,3.92414
179.988962,197.401149,3.94444
179.988962,197.716276,3.96469
179.988962,198.117346,3.98488
179.988962,198.375177,4.00511
179.988962,198.730411,4.02565
179.988962,198.919487,4.04586
179.988962,199.188777,4.06615
179.988962,199.647144,4.08638
179.988962,199.647144,4.10664
179.988962,199.681521,4.1269
179.988962,199.819031,4.14717
179.988962,199.893516,4.16738
179.988962,200.019566,4.18759
179.988962,200.019566,4.20786
179.988962,200.019566,4.22811
179.988962,200.019566,4.24837
179.988962,199.956541,4.26864
179.988962,199.738817,4.28891
179.988962,199.738817,4.30919
179.988962,199.561200,4.32948
179.988962,199.406501,4.34972
179.988962,199.183048,4.36999
179.988962,198.902299,4.39026
179.988962,198.747600,4.41049
179.988962,198.398096,4.43073
179.988962,198.111617,4.45097
179.988962,197.773572,4.47122
179.988962,197.429797,4.49144
179.988962,197.034456,4.51164
179.988962,196.656304,4.53185
179.988962,196.180749,4.55208
179.988962,195.802597,4.57237
179.988962,195.258287,4.59265
179.988962,194.845757,4.61291
179.988962,194.267070,4.6332
179.988962,193.774326,4.65345
179.988962,193.172721,4.6737
179.988962,192.634140,4.69396
179.988962,192.003887,4.71418
179.988962,191.436659,4.73437
179.988962,190.766298,4.75457
179.988962,189.958427,4.77476
179.988962,189.586005,4.79494
179.988962,188.864078,4.81515
179.988962,188.107774,4.83538
179.988962,187.477520,4.85558
179.988962,186.726945,4.87576
179.988962,186.039396,4.89599
179.988962,185.283092,4.91674
179.988962,184.595542,4.93695
179.988962,183.804861,4.95749
179.988962,183.094393,4.97771
179.988962,182.297982,4.99797
179.988962,181.564596,5.01824
179.988962,180.785373,5.03852
179.988962,180.017610,5.05877
179.988962,179.255576,5.07904
179.988962,178.487812,5.09931
179.988962,177.731508,5.11959
179.988962,176.963745,5.13982
179.988962,176.230359,5.16007
179.988962,175.451136,5.18031
179.988962,174.734939,5.20056
179.988962,173.984364,5.22081
179.988962,173.262437,5.24105
179.988962,172.540510,5.26128
179.988962,171.830043,5.28152
179.988962,171.136764,5.30176
179.988962,170.443485,5.32197
179.988962,169.114223,5.34279
179.988962,168.478240,5.36318
179.988962,167.847986,5.3836
179.988962,167.223462,5.40397
179.988962,166.478617,5.42433
