Azimuth,Elevator,Time
179.988962,179.112336,0.0202502
179.988962,179.100877,0.0404787
179.988962,179.582162,0.0607224
179.988962,180.739536,0.0809545
179.988962,182.424032,0.101145
179.988962,184.326252,0.121379
179.988962,186.222743,0.141609
179.988962,188.073396,0.161843
179.988962,189.883943,0.182068
179.988962,191.642923,0.202308
179.988962,193.304501,0.222504
179.988962,194.851487,0.242744
179.988962,196.278152,0.262975
179.988962,197.527200,0.283194
179.988962,198.564253,0.30348
179.988962,199.389313,0.323678
179.988962,199.910704,0.343852
179.988962,200.088321,0.364064
179.988962,200.025296,0.384297
179.988962,199.658603,0.40453
179.988962,199.194507,0.424782
179.988962,198.610090,0.445016
179.988962,197.848056,0.465249
179.988962,196.971431,0.485457
179.988962,195.928648,0.505697
179.988962,194.765543,0.525933
179.988962,193.459200,0.546166
179.988962,192.038264,0.566401
179.988962,190.508467,0.586634
179.988962,188.875537,0.606866
179.988962,187.150934,0.627099
179.988962,185.357576,0.647335
179.988962,183.495463,0.667565
179.988962,181.587514,0.687801
179.988962,179.639458,0.708084
179.988962,177.679942,0.728319
179.988962,175.720426,0.748553
179.988962,173.772370,0.768789
179.988962,171.870150,0.789018
179.988962,170.013767,0.809254
179.988962,168.231868,0.829488
179.988962,166.558831,0.849721
179.988962,165.000386,0.869973
179.988962,163.585180,0.890211
179.988962,162.353321,0.910446
179.988962,161.321997,0.93068
179.988962,160.537045,0.950915
179.988962,160.032842,0.971155
179.988962,159.866684,0.991391
179.988962,159.987005,1.0116
179.988962,160.410994,1.03185
179.988962,160.812064,1.05208
179.988962,161.459507,1.07232
179.988962,162.233000,1.09255
179.988962,163.132543,1.11278
179.988962,164.175327,1.13301
179.988962,165.361349,1.15325
179.988962,166.690611,1.17348
179.988962,168.123006,1.19372
179.988962,169.664262,1.21397
179.988962,171.297192,1.23421
179.988962,173.709344,1.25445
179.988962,175.210494,1.27468
179.988962,176.958015,1.29491
179.988962,178.814398,1.31515
179.988962,180.705159,1.33538
179.988962,182.630297,1.35561
179.988962,184.561165,1.37585
179.988962,186.480574,1.39608
179.988962,188.377064,1.41632
179.988962,190.204799,1.43655
179.988962,191.963780,1.45679
179.988962,193.619628,1.47703
179.988962,195.155155,1.49725
179.988962,196.547442,1.51747
179.988962,197.756383,1.53771
179.988962,198.764789,1.55789
179.988962,199.985189,1.57813
179.988962,199.985189,1.59836
179.988962,200.071132,1.61859
179.988962,200.019566,1.63883
179.988962,199.601307,1.65908
179.988962,199.068456,1.67932
179.988962,198.455391,1.69955
179.988962,197.658980,1.71978
179.988962,196.747977,1.74001
179.988962,195.676546,1.76025
179.988962,194.473335,1.78046
179.988962,193.144073,1.80073
179.988962,191.694490,1.82097
179.988962,190.136044,1.8412
179.988962,188.480196,1.8614
179.988962,186.749864,1.88164
179.988962,184.933588,1.90187
179.988962,183.054286,1.92211
179.988962,181.140607,1.94228
179.988962,179.192550,1.96252
179.988962,177.227305,1.98274
179.988962,175.273519,2.00298
179.988962,173.348381,2.02321
179.988962,171.451891,2.04345
179.988962,169.606967,2.06367
179.988962,167.847986,2.08385
179.988962,166.192138,2.10408
179.988962,164.668070,2.12432
179.988962,163.298701,2.14455
179.988962,161.682960,2.16476
179.988962,161.041247,2.18493
179.988962,160.273484,2.20512
179.988962,159.935439,2.2253
179.988962,159.929709,2.2455
179.988962,160.141704,2.26573
179.988962,160.456831,2.28595
179.988962,160.920926,2.30622
179.988962,161.602746,2.32641
179.988962,162.416346,2.34652
179.988962,163.338808,2.36672
179.988962,164.421698,2.38695
179.988962,165.636369,2.40718
179.988962,166.971361,2.42737
179.988962,168.432403,2.4476
179.988962,169.979389,2.46783
179.988962,171.635237,2.48805
179.988962,173.382758,2.50828
179.988962,175.193305,2.52851
179.988962,177.072607,2.54876
179.988962,178.992015,2.569
179.988962,180.945801,2.58923
179.988962,182.911047,2.60946
179.988962,184.859103,2.6297
179.988962,186.789971,2.64994
179.988962,188.692191,2.67016
179.988962,190.525656,2.69038
179.988962,192.278906,2.7106
179.988962,193.917566,2.73083
179.988962,195.435904,2.75105
179.988962,196.793814,2.77128
179.988962,197.968377,2.79152
179.988962,198.942406,2.81175
179.988962,199.618496,2.83197
179.988962,200.071132,2.85221
179.988962,200.134158,2.87244
179.988962,199.756006,2.89267
179.988962,199.601307,2.91288
179.988962,199.005431,2.93312
179.988962,198.306422,2.95335
179.988962,197.532929,2.97358
179.988962,196.547442,2.99378
179.988962,195.453093,3.01403
179.988962,194.226963,3.03426
179.988962,192.880512,3.0545
179.988962,191.413740,3.07469
179.988962,189.838106,3.09493
179.988962,187.511898,3.11516
179.988962,186.085233,3.13539
179.988962,184.366359,3.15561
179.988962,182.538624,3.17586
179.988962,180.665052,3.19609
179.988962,178.745643,3.21632
179.988962,176.814776,3.23657
179.988962,174.872449,3.2568
179.988962,172.958770,3.27704
179.988962,171.068009,3.29727
179.988962,169.263192,3.31751
179.988962,167.532859,3.33774
179.988962,165.899930,3.35798
179.988962,164.398780,3.3782
179.988962,163.063788,3.39843
179.988962,161.900684,3.41866
179.988962,160.972493,3.4389
179.988962,160.273484,3.45908
179.988962,159.929709,3.47932
179.988962,159.878143,3.49955
179.988962,160.199000,3.51976
179.988962,160.445371,3.54
179.988962,161.035518,3.56023
179.988962,161.751715,3.58046
179.988962,162.559586,3.60068
179.988962,163.545073,3.62094
179.988962,164.645152,3.64117
179.988962,165.882741,3.66141
179.988962,167.252110,3.68163
179.988962,168.736071,3.70185
179.988962,170.311705,3.72209
179.988962,171.996201,3.74232
179.988962,173.766640,3.76253
179.988962,175.582916,3.78275
179.988962,177.467947,3.80299
179.988962,179.398815,3.82322
179.988962,181.352601,3.84346
179.988962,183.323576,3.86369
179.988962,185.265903,3.88392
179.988962,187.202500,3.90415
179.988962,189.087532,3.92438
179.988962,190.903808,3.9446
179.988962,192.628411,3.96484
179.988962,194.249881,3.98507
179.988962,195.733842,4.00529
179.988962,197.527200,4.02552
179.988962,198.363718,4.04574
179.988962,199.200237,4.06591
179.988962,199.750276,4.08614
179.988962,200.128428,4.10636
179.988962,200.082592,4.12659
179.988962,199.750276,4.14678
179.988962,199.446608,4.16701
179.988962,198.879380,4.18724
179.988962,198.134535,4.20746
179.988962,197.326665,4.22765
179.988962,196.341177,4.2479
179.988962,195.223910,4.26812
179.988962,193.974862,4.28826
179.988962,192.594033,4.30851
179.988962,191.098613,4.32869
179.988962,189.500061,4.34881
179.988962,187.821295,4.36897
179.988962,186.056585,4.38919
179.988962,184.217390,4.40942
179.988962,182.338089,4.42958
179.988962,180.412951,4.44981
179.988962,178.470624,4.47003
179.988962,176.511108,4.49026
179.988962,174.563051,4.51049
179.988962,172.637913,4.53071
179.988962,170.758612,4.55093
179.988962,168.953795,4.57116
179.988962,167.234921,4.59139
179.988962,165.624910,4.61161
179.988962,164.146679,4.63184
179.988962,162.851794,4.65207
179.988962,161.705879,4.67229
179.988962,160.852171,4.69252
179.988962,160.147433,4.71276
179.988962,159.826577,4.73293
179.988962,159.958357,4.75314
179.988962,160.250566,4.77338
179.988962,160.605800,4.79361
179.988962,161.184487,4.81384
179.988962,161.900684,4.83406
179.988962,162.731473,4.85429
179.988962,163.728420,4.87451
179.988962,164.857146,4.89473
179.988962,166.111924,4.91495
179.988962,167.504211,4.93518
179.988962,168.999631,4.95541
179.988962,170.598184,4.97564
179.988962,172.947310,4.99587
179.988962,174.425542,5.0161
179.988962,176.150145,5.03631
179.988962,177.989339,5.05654
179.988962,179.868641,5.07678
179.988962,181.793779,5.09701
179.988962,183.724647,5.11723
179.988962,185.655514,5.13746
179.988962,187.569193,5.15769
179.988962,189.419847,5.1779
179.988962,191.224664,5.19814
179.988962,192.937808,5.21837
179.988962,194.530631,5.2386
179.988962,195.980214,5.25882
179.988962,197.275098,5.27906
179.988962,198.369448,5.29929
179.988962,199.246073,5.31952
179.988962,199.824761,5.33975
179.988962,200.105510,5.35998
179.988962,200.105510,5.38022
179.988962,199.670062,5.40045
179.988962,199.412231,5.42068
179.988962,198.764789,5.44093
179.988962,198.002755,5.46116
179.988962,197.171966,5.48138
179.988962,196.140642,5.50162
179.988962,194.994726,5.52192
179.988962,193.728490,5.54216
179.988962,192.330473,5.56238
179.988962,190.823594,5.58261
179.988962,189.207853,5.60285
179.988962,187.511898,5.62309
179.988962,185.729999,5.64331
179.988962,183.879345,5.66354
179.988962,181.971396,5.68376
179.988962,180.023339,5.70399
179.988962,178.075283,5.72421
179.988962,176.115767,5.74445
179.988962,174.167711,5.76466
179.988962,172.248302,5.78485
179.988962,170.386189,5.80508
179.988962,168.592831,5.82531
179.988962,166.896876,5.84554
179.988962,165.304053,5.86576
179.988962,163.871659,5.88598
179.988962,162.124138,5.90621
179.988962,161.396481,5.92645
179.988962,160.514126,5.94668
179.988962,160.061490,5.9669
179.988962,159.952628,5.98713
179.988962,159.958357,6.00736
179.988962,160.347969,6.02759
179.988962,160.686014,6.04781
179.988962,161.287619,6.06803
179.988962,162.072572,6.08827
179.988962,162.926279,6.1085
179.988962,163.957603,6.12875
179.988962,165.114977,6.14897
179.988962,166.404132,6.1692
179.988962,167.813609,6.18943
179.988962,169.331947,6.20966
179.988962,170.959147,6.22988
179.988962,172.672291,6.25012
179.988962,174.465649,6.27035
179.988962,176.316302,6.29047
179.988962,178.229981,6.31071
179.988962,180.166579,6.33095
179.988962,182.120365,6.35118
179.988962,184.074151,6.37142
179.988962,186.010748,6.39165
179.988962,187.930157,6.41189
179.988962,189.786540,6.43211
179.988962,191.579898,6.45234
179.988962,193.258664,6.47257
179.988962,194.834298,6.4928
179.988962,196.255234,6.51302
179.988962,197.515741,6.53325
179.988962,198.564253,6.55349
179.988962,199.383583,6.57372
179.988962,199.904975,6.59394
179.988962,200.094051,6.61417
179.988962,200.071132,6.63441
179.988962,199.658603,6.65464
179.988962,199.228885,6.67488
179.988962,198.581442,6.69511
179.988962,197.865245,6.71534
179.988962,196.948512,6.73557
179.988962,195.917188,6.75581
179.988962,194.754084,6.77604
179.988962,193.447740,6.79627
179.988962,192.748732,6.81649
179.988962,190.307932,6.83675
179.988962,188.732298,6.85698
179.988962,187.024883,6.87721
179.988962,185.265903,6.89745
179.988962,183.426709,6.91767
179.988962,181.535948,6.93787
179.988962,179.593621,6.95809
179.988962,177.645564,6.97832
179.988962,175.691778,6.99856
179.988962,173.749451,7.01879
179.988962,171.852961,7.03901
179.988962,169.996578,7.05924
179.988962,168.231868,7.07948
179.988962,166.553101,7.09971
179.988962,165.000386,7.11993
179.988962,163.579451,7.14017
179.988962,162.359050,7.1604
179.988962,161.310538,7.18064
179.988962,160.542774,7.20087
179.988962,159.992735,7.22111
179.988962,159.826577,7.24134
179.988962,160.078678,7.26158
179.988962,160.330780,7.28181
179.988962,160.840712,7.30204
179.988962,161.459507,7.32228
179.988962,162.227270,7.34251
179.988962,163.138273,7.36274
179.988962,164.186786,7.38296
179.988962,165.384268,7.4032
179.988962,166.684882,7.4234
179.988962,168.123006,7.44364
179.988962,169.664262,7.46387
179.988962,171.297192,7.48409
179.988962,173.033254,7.50431
179.988962,174.826612,7.52455
179.988962,176.694454,7.54478
179.988962,178.619593,7.56502
179.988962,180.556190,7.58524
179.988962,182.515706,7.60547
179.988962,184.475221,7.6257
179.988962,186.411819,7.64594
179.988962,188.319768,7.66618
179.988962,190.158963,7.6864
179.988962,191.935132,7.70662
179.988962,192.806028,7.72685
179.988962,195.498929,7.74709
179.988962,196.765166,7.76732
179.988962,197.888163,7.78754
179.988962,198.833544,7.80777
179.988962,199.532552,7.82801
179.988962,200.008107,7.84824
179.988962,200.111240,7.86848
179.988962,199.979459,7.88876
179.988962,199.509634,7.909
179.988962,199.154400,7.92923
179.988962,198.501228,7.94947
179.988962,197.658980,7.96969
179.988962,196.747977,7.98991
179.988962,195.676546,8.01015
179.988962,194.467605,8.03038
179.988962,193.144073,8.05061
179.988962,191.705949,8.07085
179.988962,190.147503,8.09108
179.988962,188.497385,8.11132
179.988962,186.755593,8.13155
179.988962,184.950776,8.15178
179.988962,183.077204,8.17202
179.988962,181.163525,8.19226
179.988962,179.215469,8.21252
179.988962,177.250224,8.23279
179.988962,175.284978,8.25297
179.988962,173.342651,8.27321
179.988962,171.451891,8.29336
179.988962,169.606967,8.31356
179.988962,167.847986,8.33374
179.988962,166.192138,8.35393
179.988962,164.679529,8.37414
179.988962,163.304431,8.39437
179.988962,162.118408,8.41459
179.988962,161.138650,8.43483
179.988962,160.405264,8.45507
179.988962,159.981276,8.4753
179.988962,159.872414,8.49553
179.988962,160.044301,8.51576
179.988962,160.439642,8.53598
179.988962,160.972493,8.55622
179.988962,161.585557,8.57645
179.988962,162.404887,8.59669
179.988962,163.344538,8.61694
179.988962,164.415969,8.63717
179.988962,166.089006,8.65741
179.988962,167.097411,8.67765
179.988962,168.506888,8.69788
179.988962,170.059603,8.71811
179.988962,171.703992,8.73834
179.988962,173.434325,8.75858
179.988962,175.227682,8.7788
179.988962,177.106984,8.79903
179.988962,179.026393,8.81926
179.988962,180.968720,8.83951
179.988962,182.933965,8.85974
179.988962,184.882021,8.87998
179.988962,186.812889,8.90021
179.988962,188.715109,8.92045
179.988962,190.537115,8.94068
179.988962,192.296095,8.96093
179.988962,193.929025,8.98116
179.988962,195.447363,9.00138
179.988962,196.805273,9.02162
179.988962,197.979837,9.04185
