AzInput,ElInput,Time
180,180,4.04e-07
180,185.151,0.0202848
180,190.222,0.0405231
180,195.158,0.0607561
180,199.904,0.0810215
180,204.385,0.101272
180,208.545,0.121512
180,212.331,0.141754
180,215.693,0.161988
180,218.589,0.182221
180,220.976,0.20242
180,222.832,0.222658
180,224.127,0.242898
180,224.846,0.263134
180,224.977,0.283375
180,224.52,0.303617
180,223.481,0.323857
180,221.875,0.344072
180,219.719,0.364311
180,217.05,0.384504
180,213.892,0.404741
180,210.289,0.42498
180,206.29,0.445221
180,201.952,0.46544
180,197.323,0.485676
180,192.468,0.505912
180,187.45,0.526145
180,182.344,0.546342
180,177.194,0.56659
180,172.083,0.586829
180,167.082,0.607046
180,162.243,0.627285
180,157.639,0.647518
180,153.326,0.667755
180,149.363,0.687985
180,145.799,0.708227
180,142.683,0.728468
180,140.06,0.748668
180,137.954,0.768907
180,136.397,0.789147
180,135.412,0.809382
180,135.01,0.829623
180,135.196,0.849861
180,135.969,0.870103
180,137.318,0.890343
180,139.225,0.910578
180,141.666,0.930815
180,144.608,0.951053
180,148.013,0.971291
180,151.833,0.99151
180,156.024,1.01174
180,160.534,1.032
180,165.294,1.05224
180,170.234,1.07242
180,175.313,1.09266
180,180.454,1.1129
180,185.59,1.13314
180,190.651,1.15337
180,195.574,1.17361
180,200.294,1.19385
180,204.747,1.21408
180,208.873,1.2343
180,212.626,1.25454
180,215.952,1.27478
180,218.805,1.295
180,221.153,1.31524
180,222.956,1.33538
180,224.201,1.35551
180,224.875,1.37569
180,224.965,1.39587
180,224.468,1.41611
180,223.389,1.43634
180,221.743,1.45658
180,219.551,1.47681
180,216.843,1.49704
180,213.652,1.51728
180,210.022,1.53751
180,206,1.55773
180,201.639,1.57796
180,196.995,1.59818
180,192.128,1.61841
180,187.102,1.63864
180,181.983,1.65887
180,176.838,1.6791
180,171.739,1.69932
180,166.743,1.71955
180,161.916,1.7398
180,157.33,1.76003
180,153.041,1.78026
180,149.105,1.80049
180,145.58,1.82067
180,142.496,1.8409
180,139.909,1.86107
180,137.838,1.8813
180,136.319,1.90152
180,135.37,1.92175
180,135.004,1.94197
180,135.227,1.9622
180,136.034,1.98243
180,137.418,2.00267
180,139.358,2.02292
180,141.83,2.04315
180,144.801,2.06339
180,148.233,2.08363
180,152.081,2.10387
180,156.294,2.12411
180,160.817,2.14435
180,165.587,2.16456
180,170.549,2.1848
180,175.635,2.20504
180,180.779,2.22528
180,185.907,2.2455
180,190.964,2.26575
180,195.875,2.28598
180,200.58,2.30622
180,205.011,2.32644
180,209.107,2.34661
180,212.834,2.36684
180,216.133,2.38708
180,218.959,2.40731
180,221.274,2.42753
180,223.053,2.44779
180,224.266,2.46803
180,224.901,2.48826
180,224.948,2.50849
180,224.408,2.52872
180,223.288,2.54893
180,221.601,2.56917
180,219.37,2.58941
180,216.623,2.60965
180,213.398,2.62988
180,209.736,2.65012
180,205.685,2.67035
180,201.302,2.69057
180,196.636,2.71082
180,191.752,2.73105
180,186.715,2.75129
180,181.591,2.77152
180,176.442,2.79178
180,171.342,2.81202
180,166.359,2.83224
180,161.551,2.85248
180,156.988,2.8727
180,152.722,2.89294
180,148.814,2.91318
180,145.314,2.93342
180,142.268,2.95364
180,139.715,2.97388
180,137.689,2.99412
180,136.215,3.01437
180,135.315,3.03461
180,135,3.05485
180,135.274,3.07507
180,136.132,3.09531
180,137.564,3.11553
180,139.553,3.13579
180,142.07,3.15603
180,145.084,3.17627
180,148.554,3.19651
180,152.434,3.21674
180,156.676,3.23698
180,161.224,3.25722
180,166.018,3.27746
180,170.995,3.29771
180,176.089,3.31794
180,181.211,3.33809
180,186.339,3.35833
180,191.371,3.37851
180,196.252,3.39868
180,200.936,3.41891
180,205.348,3.43915
180,209.427,3.45938
180,213.123,3.47962
180,216.385,3.49986
180,219.17,3.52009
180,221.439,3.54029
180,223.167,3.56046
180,224.336,3.5807
180,224.926,3.60094
180,224.927,3.62118
180,224.341,3.64142
180,223.174,3.66166
180,221.445,3.68188
180,219.172,3.70211
180,216.386,3.72235
180,213.125,3.74259
180,209.429,3.76283
180,205.349,3.78307
180,200.937,3.80331
180,196.251,3.82355
180,191.349,3.8438
180,186.302,3.86404
180,181.187,3.88422
180,176.042,3.90446
180,170.949,3.9247
180,165.975,3.94494
180,161.184,3.96518
180,156.639,3.98541
180,152.4,4.00565
180,148.522,4.02589
180,145.055,4.04613
180,142.046,4.06637
180,139.534,4.0866
180,137.551,4.10684
180,136.123,4.12708
180,135.269,4.14732
180,135.001,4.16755
180,135.321,4.18781
180,136.226,4.20805
180,137.704,4.22829
180,139.733,4.24851
180,142.291,4.26874
180,145.342,4.28898
180,148.847,4.30922
180,152.759,4.32946
180,157.028,4.3497
180,161.597,4.36994
180,166.407,4.39018
180,171.393,4.41041
180,176.494,4.43065
180,181.639,4.45089
180,186.759,4.47111
180,191.794,4.49134
180,196.676,4.51158
180,201.343,4.53183
180,205.72,4.55203
180,209.768,4.57227
180,213.427,4.59251
180,216.647,4.61274
180,219.389,4.63297
180,221.616,4.65321
180,223.299,4.67345
180,224.413,4.69363
180,224.95,4.71386
180,224.899,4.7341
180,224.26,4.75433
180,223.043,4.77457
180,221.262,4.79481
180,218.941,4.81505
180,216.111,4.83529
180,212.808,4.85553
180,209.072,4.87579
180,204.958,4.89603
180,200.522,4.91626
180,195.826,4.93645
180,190.911,4.95669
180,185.855,4.97693
180,180.726,4.99715
180,175.583,5.01738
180,170.499,5.03762
180,165.538,5.05786
180,160.766,5.0781
180,156.247,5.09833
180,152.038,5.11857
180,148.194,5.13881
180,144.768,5.15904
180,141.803,5.17927
180,139.336,5.19951
180,137.402,5.21974
180,136.027,5.23992
180,135.223,5.26016
180,135.005,5.28038
180,135.375,5.30061
180,136.327,5.32083
180,137.845,5.341
180,139.907,5.36113
180,142.484,5.38124
180,145.572,5.4015
180,149.085,5.42163
180,153.015,5.44183
180,157.29,5.46201
180,161.845,5.48212
180,166.66,5.50233
180,171.64,5.52251
180,176.742,5.54274
180,181.886,5.56297
180,186.996,5.58316
180,192.026,5.6034
180,196.899,5.62363
180,201.55,5.64387
180,205.916,5.66409
180,209.947,5.68432
180,213.586,5.70455
180,216.786,5.72479
180,219.503,5.74501
180,221.705,5.76525
180,223.362,5.78548
180,224.452,5.80571
180,224.961,5.82594
180,224.881,5.84618
180,224.215,5.86641
180,222.971,5.88664
180,221.164,5.90688
180,218.818,5.92712
180,215.968,5.94734
180,212.646,5.96757
180,208.894,5.98782
180,204.765,6.00806
180,200.317,6.02827
180,195.598,6.04851
180,190.675,6.06876
180,185.615,6.08899
180,180.479,6.10923
180,175.337,6.12947
180,170.258,6.1497
180,165.306,6.16993
180,160.546,6.19017
180,156.042,6.21039
180,151.848,6.23063
180,148.031,6.25083
180,144.624,6.27107
