Azimuth,Elevator,Time
179.988962,179.903018,0.0201983
179.988962,179.908748,0.040421
179.988962,179.983232,0.0606473
179.988962,180.372843,0.0808756
179.988962,180.579108,0.101105
179.988962,180.877046,0.121334
179.988962,181.123418,0.141566
179.988962,181.432815,0.1618
179.988962,181.598973,0.182028
179.988962,181.925559,0.202254
179.988962,182.114635,0.222482
179.988962,182.429762,0.242708
179.988962,182.613108,0.262937
179.988962,182.933965,0.283164
179.988962,183.111582,0.30339
179.988962,183.409520,0.323616
179.988962,183.661621,0.343826
179.988962,183.913723,0.364056
179.988962,184.119987,0.384284
179.988962,184.417926,0.404511
179.988962,184.618461,0.424739
179.988962,184.927858,0.444968
179.988962,185.116934,0.465198
179.988962,185.426331,0.485431
179.988962,185.609678,0.505658
179.988962,185.919075,0.525885
179.988962,186.079503,0.546118
179.988962,186.394630,0.566358
179.988962,186.566517,0.586586
179.988962,186.898833,0.60682
179.988962,187.019154,0.627047
179.988962,187.322822,0.647258
179.988962,187.488979,0.667481
179.988962,187.781188,0.687708
179.988962,187.987453,0.707934
179.988962,188.308309,0.728171
179.988962,188.417171,0.748402
179.988962,188.703650,0.768626
179.988962,188.944292,0.788854
179.988962,189.173475,0.809087
179.988962,189.356822,0.829311
179.988962,189.626112,0.849542
179.988962,189.861025,0.869772
179.988962,190.032912,0.89
179.988962,190.285013,0.910228
179.988962,190.497008,0.930458
179.988962,190.703273,0.950686
179.988962,190.961104,0.970914
179.988962,191.098613,0.991149
179.988962,191.390822,1.01138
179.988962,191.516873,1.03161
179.988962,191.814811,1.05183
179.988962,191.895025,1.07206
179.988962,192.233070,1.09229
179.988962,192.307554,1.11252
179.988962,192.576845,1.13275
179.988962,192.748732,1.15298
179.988962,192.960726,1.1732
179.988962,193.207098,1.19343
179.988962,193.293042,1.21365
179.988962,193.596709,1.23388
179.988962,193.992050,1.25411
179.988962,193.992050,1.27436
179.988962,194.026428,1.2946
179.988962,194.255611,1.31482
179.988962,194.416039,1.33505
179.988962,194.656681,1.35528
179.988962,195.034833,1.37551
179.988962,195.034833,1.39573
179.988962,195.063481,1.41596
179.988962,195.344231,1.43619
179.988962,195.688005,1.45643
179.988962,195.688005,1.47666
179.988962,195.722383,1.49688
179.988962,195.940107,1.51711
179.988962,196.289611,1.53734
179.988962,196.289611,1.55756
179.988962,196.318259,1.57779
179.988962,196.576090,1.59802
179.988962,196.616197,1.61822
179.988962,196.799543,1.63845
179.988962,196.908405,1.65867
179.988962,197.074563,1.6789
179.988962,197.189155,1.69913
179.988962,197.366772,1.71935
179.988962,197.418338,1.73958
179.988962,197.607414,1.7598
179.988962,197.670439,1.78003
179.988962,197.830868,1.80026
179.988962,197.899622,1.82048
179.988962,198.060051,1.84071
179.988962,198.100158,1.86093
179.988962,198.340800,1.88116
179.988962,198.357989,1.90139
179.988962,198.592901,1.92163
179.988962,198.592901,1.94185
179.988962,198.598631,1.96208
179.988962,198.799166,1.9823
179.988962,198.804896,2.00255
179.988962,198.873651,2.02277
179.988962,198.988242,2.043
179.988962,199.051268,2.06322
179.988962,199.154400,2.08346
179.988962,199.194507,2.10368
179.988962,199.297639,2.1239
179.988962,199.332017,2.14413
179.988962,199.412231,2.16436
179.988962,199.463797,2.18459
179.988962,199.532552,2.20481
179.988962,199.664332,2.22504
179.988962,199.664332,2.24526
179.988962,199.664332,2.26549
179.988962,199.784654,2.28572
179.988962,199.784654,2.30595
179.988962,199.784654,2.32617
179.988962,199.824761,2.3464
179.988962,199.899245,2.36663
179.988962,199.922163,2.38686
179.988962,199.922163,2.40709
179.988962,199.956541,2.42733
179.988962,199.968000,2.44757
179.988962,199.979459,2.4678
179.988962,199.979459,2.48803
179.988962,199.985189,2.50827
179.988962,199.985189,2.5285
179.988962,199.990918,2.54873
179.988962,199.990918,2.56896
179.988962,199.990918,2.58919
179.988962,199.990918,2.60942
179.988962,199.990918,2.62964
179.988962,199.990918,2.64987
179.988962,199.990918,2.6701
179.988962,199.985189,2.69034
179.988962,199.910704,2.71057
179.988962,199.870597,2.73079
179.988962,199.841949,2.75102
179.988962,199.801842,2.77119
179.988962,199.727358,2.79142
179.988962,199.727358,2.81164
179.988962,199.692980,2.83187
179.988962,199.629955,2.8521
179.988962,199.515363,2.87232
179.988962,199.515363,2.89255
179.988962,199.498175,2.91278
179.988962,199.360665,2.933
179.988962,199.360665,2.95323
179.988962,199.314828,2.97345
179.988962,199.165859,2.99368
179.988962,199.165859,3.01391
179.988962,198.965324,3.03414
179.988962,198.965324,3.05438
179.988962,198.787707,3.07456
179.988962,198.787707,3.09479
179.988962,198.610090,3.11502
179.988962,198.610090,3.13524
179.988962,198.604361,3.15547
179.988962,198.461121,3.17569
179.988962,198.226208,3.19592
179.988962,198.226208,3.21615
179.988962,198.203290,3.23638
179.988962,197.968377,3.25661
179.988962,197.962648,3.27683
179.988962,197.888163,3.29706
179.988962,197.744924,3.31728
179.988962,197.647521,3.33751
179.988962,197.532929,3.35773
179.988962,197.320935,3.37796
179.988962,197.022997,3.39819
179.988962,197.022997,3.41842
179.988962,196.994349,3.43864
179.988962,196.845380,3.45887
179.988962,196.696411,3.4791
179.988962,196.524524,3.49932
179.988962,196.169290,3.51956
179.988962,196.169290,3.53978
179.988962,196.134912,3.56001
179.988962,195.934377,3.58024
179.988962,195.831245,3.60046
179.988962,195.602062,3.62069
179.988962,195.510388,3.64092
179.988962,195.269746,3.66114
179.988962,195.206721,3.68137
179.988962,194.954619,3.7016
179.988962,194.559278,3.72183
179.988962,194.559278,3.74206
179.988962,194.513442,3.76228
179.988962,194.267070,3.78251
179.988962,194.186856,3.80274
179.988962,193.883188,3.82296
179.988962,193.825893,3.84319
179.988962,193.550873,3.86342
179.988962,193.401904,3.88364
179.988962,193.149802,3.90387
179.988962,193.040940,3.9241
