Azimuth,Elevator,Time
179.988962,179.564973,0.0202469
179.988962,179.547784,0.0404715
179.988962,180.034798,0.0606849
179.988962,181.014556,0.0808692
179.988962,181.725024,0.101034
179.988962,185.959182,0.121192
179.988962,188.394253,0.14135
179.988962,190.817864,0.161483
179.988962,193.224287,0.181654
179.988962,195.619250,0.201861
179.988962,198.025673,0.222067
179.988962,200.420637,0.242285
179.988962,202.827059,0.262448
179.988962,205.222023,0.282639
179.988962,207.628446,0.302865
179.988962,210.006221,0.323089
179.988962,211.919900,0.343317
179.988962,213.163218,0.363539
179.988962,213.867956,0.383769
179.988962,214.154435,0.403998
179.988962,213.690339,0.424233
179.988962,212.670474,0.444464
179.988962,211.117759,0.46469
179.988962,209.009274,0.48492
179.988962,206.516908,0.505146
179.988962,204.110485,0.525381
179.988962,201.698333,0.545566
179.988962,199.291910,0.565787
179.988962,196.891217,0.58601
179.988962,194.490524,0.606238
179.988962,192.095560,0.626475
179.988962,189.689137,0.646708
179.988962,187.294174,0.666944
179.988962,184.893480,0.687188
179.988962,182.509976,0.707438
179.988962,180.613486,0.727669
179.988962,179.341519,0.747894
179.988962,178.596674,0.768118
179.988962,178.436246,0.788343
179.988962,178.877424,0.808568
179.988962,179.874370,0.82879
179.988962,181.415627,0.849019
179.988962,183.524111,0.869238
179.988962,186.010748,0.889433
179.988962,188.422901,0.909609
179.988962,193.241476,0.930025
179.988962,195.636439,0.95043
179.988962,198.042862,0.970809
179.988962,200.420637,0.991168
179.988962,203.056243,1.01153
179.988962,204.053189,1.03195
179.988962,204.459989,1.05237
179.988962,204.328209,1.07279
179.988962,203.612012,1.09321
179.988962,202.345775,1.11357
179.988962,200.523769,1.13406
179.988962,198.157453,1.15447
179.988962,195.716653,1.17489
179.988962,193.293042,1.19528
179.988962,190.892349,1.21568
179.988962,188.485926,1.2361
179.988962,186.085233,1.25652
179.988962,183.684540,1.27705
179.988962,181.289576,1.29742
179.988962,178.883153,1.3178
179.988962,176.488190,1.33822
179.988962,174.230736,1.35859
179.988962,172.586347,1.37901
179.988962,171.549293,1.39942
179.988962,171.142493,1.41984
179.988962,171.239896,1.44026
179.988962,171.921716,1.46068
179.988962,173.159305,1.4811
179.988962,174.952663,1.50152
179.988962,178.550838,1.52194
179.988962,180.957260,1.54236
179.988962,183.369413,1.56273
179.988962,185.770106,1.58314
179.988962,188.176529,1.60343
179.988962,190.571492,1.62372
179.988962,192.977915,1.64408
179.988962,195.355690,1.66448
179.988962,197.280828,1.68471
179.988962,198.564253,1.70504
179.988962,199.286180,1.72544
179.988962,199.406501,1.74587
179.988962,198.971054,1.76621
179.988962,197.991296,1.78649
179.988962,196.450039,1.8067
179.988962,194.347284,1.82691
179.988962,191.854918,1.84737
179.988962,189.448495,1.86776
179.988962,187.036343,1.88815
179.988962,184.629920,1.9084
179.988962,182.229227,1.92866
179.988962,179.834263,1.94889
179.988962,177.427840,1.9691
179.988962,175.032877,1.98931
179.988962,172.643643,2.00951
179.988962,170.724234,2.02971
179.988962,169.446538,2.0499
179.988962,168.713152,2.0701
179.988962,168.610020,2.0903
179.988962,169.034009,2.11052
179.988962,170.019496,2.13073
179.988962,171.560753,2.15093
179.988962,173.669237,2.17112
179.988962,176.155874,2.19132
179.988962,178.568026,2.21153
179.988962,179.771238,2.23174
179.988962,184.584083,2.252
179.988962,186.984776,2.27226
179.988962,189.379740,2.29251
179.988962,191.786163,2.31278
179.988962,194.163938,2.33306
179.988962,196.060428,2.35332
179.988962,197.326665,2.37359
179.988962,198.088699,2.39384
179.988962,198.231938,2.41415
179.988962,197.785031,2.43441
179.988962,196.782355,2.45479
179.988962,195.229639,2.47517
179.988962,193.121154,2.49552
179.988962,190.634518,2.51586
179.988962,188.222365,2.53628
179.988962,185.815943,2.55666
179.988962,183.409520,2.57705
179.988962,181.008827,2.59749
179.988962,178.608133,2.61792
179.988962,176.207440,2.63838
179.988962,173.812477,2.65881
179.988962,171.428972,2.67914
179.988962,169.503834,2.69941
179.988962,168.214679,2.71966
179.988962,167.509941,2.73987
179.988962,167.372431,2.76008
179.988962,167.802149,2.78033
179.988962,168.793366,2.80059
179.988962,171.314381,2.82882
179.988962,173.686426,2.84909
179.988962,176.121497,2.86942
179.988962,178.550838,2.88982
179.988962,180.945801,2.91023
179.988962,183.352224,2.93061
179.988962,185.747188,2.95103
179.988962,188.159340,2.97144
179.988962,190.548574,2.99185
179.988962,193.751408,3.01225
179.988962,195.092129,3.03263
179.988962,195.888541,3.053
179.988962,196.077617,3.07334
179.988962,195.722383,3.09365
179.988962,194.799921,3.11387
179.988962,193.321690,3.13409
179.988962,191.287689,3.15433
179.988962,188.806782,3.1746
179.988962,186.400359,3.19488
179.988962,183.982478,3.21534
179.988962,181.581784,3.23576
179.988962,179.175362,3.25617
179.988962,176.780398,3.27659
179.988962,174.373975,3.29697
179.988962,171.979012,3.31736
179.988962,169.595507,3.33768
179.988962,167.658910,3.35807
179.988962,166.358296,3.37851
179.988962,165.716583,3.39894
179.988962,165.556155,3.41937
179.988962,165.991603,3.4398
179.988962,166.977090,3.46023
179.988962,168.524076,3.48065
179.988962,170.638291,3.50107
179.988962,173.130657,3.52151
179.988962,175.531350,3.54188
179.988962,177.943502,3.56234
179.988962,181.547407,3.58271
179.988962,183.953830,3.60296
179.988962,186.348793,3.62318
179.988962,188.755216,3.64338
179.988962,191.132991,3.66359
179.988962,193.052399,3.68381
179.988962,194.324366,3.70402
179.988962,195.046293,3.72422
179.988962,195.189532,3.74443
179.988962,194.759814,3.76474
179.988962,193.768597,3.78512
179.988962,192.227340,3.80552
179.988962,190.124585,3.82575
179.988962,187.632219,3.84611
179.988962,185.225796,3.86645
179.988962,182.813644,3.88684
179.988962,180.412951,3.90725
179.988962,178.006528,3.92766
179.988962,175.611564,3.94804
179.988962,173.205141,3.9684
179.988962,170.810178,3.98882
179.988962,168.426673,4.00921
179.988962,166.495806,4.0297
179.988962,165.183732,4.05006
179.988962,164.542020,4.07039
179.988962,164.393051,4.0907
179.988962,164.817039,4.11094
179.988962,165.796797,4.1312
179.988962,167.338054,4.15145
179.988962,169.440809,4.17184
179.988962,171.933175,4.19213
179.988962,174.345327,4.21238
179.988962,177.960691,4.23264
179.988962,180.355655,4.25289
179.988962,182.762077,4.27311
179.988962,185.157041,4.29335
179.988962,187.563464,4.3136
179.988962,189.935509,4.33386
179.988962,191.837729,4.35413
179.988962,193.103966,4.37438
179.988962,193.854540,4.39464
179.988962,194.009239,4.4149
179.988962,193.562332,4.43517
179.988962,192.565385,4.45544
179.988962,191.018399,4.47569
179.988962,188.915644,4.49596
179.988962,186.423278,4.51623
