AzInput,ElInput,Time
180,180,3.75e-07
180,181.9,0.0201753
180,183.793,0.0403582
180,185.667,0.060493
180,187.523,0.0806774
180,189.351,0.100903
180,191.14,0.121099
180,192.888,0.141351
180,194.583,0.161577
180,196.219,0.18181
180,197.789,0.202038
180,199.287,0.222271
180,200.708,0.242503
180,202.045,0.262734
180,203.292,0.282962
180,204.456,0.303382
180,205.511,0.32362
180,206.462,0.343854
180,207.306,0.364083
180,208.04,0.384312
180,208.661,0.404541
180,209.166,0.42477
180,209.553,0.445006
180,209.821,0.465239
180,209.969,0.485464
180,209.995,0.505694
180,209.901,0.525821
180,209.688,0.54594
180,209.355,0.566112
180,208.904,0.58632
180,208.335,0.606548
180,207.652,0.626774
180,206.857,0.647011
180,205.955,0.66722
180,204.946,0.68747
180,203.837,0.707694
180,202.632,0.727929
180,201.335,0.748161
180,199.953,0.768392
180,198.49,0.788617
180,196.952,0.808851
180,195.346,0.829082
180,193.677,0.849321
180,191.953,0.869551
180,190.181,0.889784
180,188.379,0.909894
180,186.527,0.930186
180,184.662,0.950335
180,182.776,0.970507
180,180.874,0.990723
180,178.968,1.01095
180,177.067,1.03117
180,175.18,1.05136
180,173.31,1.07159
180,171.467,1.09181
180,169.663,1.11198
180,167.899,1.13216
180,166.18,1.15239
180,164.517,1.17261
180,162.917,1.19284
180,161.385,1.21307
180,159.929,1.2333
180,158.553,1.25352
180,157.264,1.27376
180,156.067,1.29398
180,154.967,1.31421
180,153.967,1.33445
180,153.073,1.35468
180,152.287,1.3749
180,151.613,1.39514
180,151.055,1.41531
180,150.613,1.43554
180,150.289,1.45577
180,150.085,1.47601
180,150.002,1.49625
180,150.04,1.51648
180,150.199,1.53671
180,150.478,1.55691
180,150.877,1.57717
180,151.392,1.59736
180,152.022,1.61754
180,152.764,1.63771
180,153.615,1.65788
180,154.575,1.67811
180,155.636,1.6983
180,156.796,1.71853
180,158.051,1.73875
180,159.394,1.75898
180,160.821,1.77922
180,162.32,1.7994
180,163.895,1.81962
180,165.535,1.83985
180,167.233,1.86008
180,168.983,1.8803
180,170.777,1.90053
180,172.608,1.92076
180,174.47,1.94099
180,176.354,1.96122
180,178.252,1.98145
180,180.158,2.00168
180,182.06,2.02187
180,183.954,2.04208
180,185.836,2.06232
180,187.695,2.08257
180,189.52,2.10279
180,191.303,2.12296
180,193.042,2.14316
180,194.726,2.16332
180,196.359,2.18358
180,197.921,2.20379
180,199.414,2.22403
180,200.827,2.24426
180,202.156,2.26449
180,203.396,2.28471
180,204.541,2.30494
180,205.588,2.32517
180,206.531,2.34541
180,207.367,2.36564
180,208.092,2.38587
180,208.704,2.4061
180,209.2,2.42633
180,209.578,2.44657
180,209.836,2.4667
180,209.975,2.48692
180,209.993,2.50711
180,209.89,2.52728
180,209.667,2.54749
180,209.324,2.56772
180,208.862,2.58795
180,208.285,2.60816
180,207.593,2.62838
180,206.789,2.64861
180,205.878,2.66883
180,204.862,2.68907
180,203.745,2.7093
180,202.533,2.72953
180,201.229,2.74976
180,199.827,2.77018
180,198.356,2.79041
180,196.812,2.81064
180,195.2,2.83087
180,193.525,2.85112
180,191.797,2.87136
180,190.022,2.89158
180,188.217,2.91169
180,186.366,2.93194
180,184.496,2.95212
180,182.605,2.97233
180,180.701,2.99256
180,178.795,3.01279
180,176.894,3.03302
180,175.005,3.05325
180,173.134,3.0735
180,171.294,3.09373
180,169.488,3.11396
180,167.733,3.13409
180,166.023,3.15426
180,164.366,3.17449
180,162.771,3.19472
180,161.247,3.21495
180,159.797,3.23519
180,158.433,3.25536
180,157.152,3.27559
180,155.963,3.29582
180,154.872,3.31605
180,153.882,3.33628
180,152.997,3.35651
180,152.221,3.37674
180,151.557,3.397
180,151.009,3.41723
180,150.577,3.43746
180,150.265,3.45769
180,150.072,3.47792
180,150.001,3.49815
180,150.05,3.5184
180,150.221,3.53863
180,150.511,3.55886
180,150.922,3.57911
180,151.448,3.59928
180,152.09,3.61951
180,152.843,3.63969
180,153.704,3.65986
180,154.673,3.68006
180,155.746,3.7003
180,156.916,3.72052
180,158.18,3.74075
180,159.531,3.76098
180,160.956,3.78108
180,162.467,3.80132
180,164.047,3.82153
180,165.688,3.84171
180,167.388,3.86189
180,169.141,3.88211
180,170.941,3.90235
180,172.775,3.92258
180,174.64,3.94282
180,176.525,3.96305
180,178.426,3.9833
180,180.332,4.00352
180,182.232,4.0237
180,184.128,4.04394
180,186.007,4.06417
180,187.859,4.08437
180,189.68,4.10457
180,191.463,4.1248
180,193.2,4.14502
180,194.881,4.16521
180,196.499,4.18536
180,198.056,4.20558
180,199.541,4.22581
180,200.948,4.24605
180,202.27,4.26627
180,203.499,4.28646
180,204.636,4.3067
180,205.674,4.32694
180,206.608,4.34718
180,207.435,4.36741
180,208.15,4.38763
180,208.752,4.40786
180,209.238,4.42808
180,209.606,4.44832
180,209.854,4.46855
180,209.981,4.48878
180,209.988,4.50901
180,209.874,4.52924
180,209.638,4.54947
180,209.284,4.5697
180,208.811,4.58993
180,208.216,4.61034
180,207.511,4.63057
180,206.696,4.6508
180,205.773,4.67103
180,204.754,4.69111
180,203.635,4.7112
180,202.422,4.7313
180,201.114,4.75149
180,199.718,4.77172
180,198.243,4.79194
180,196.697,4.81211
180,195.081,4.83234
180,193.407,4.85253
180,191.676,4.87275
180,189.898,4.89297
180,188.082,4.91318
180,186.234,4.93337
180,184.357,4.95361
180,182.463,4.97384
180,180.559,4.99407
180,178.653,5.01429
180,176.752,5.03453
180,174.864,5.05476
180,172.997,5.07499
180,171.158,5.09523
180,169.355,5.11546
180,167.595,5.13569
180,165.888,5.15589
180,164.235,5.17612
180,162.646,5.19635
180,161.126,5.21659
180,159.671,5.237
180,158.31,5.25723
180,157.038,5.27746
180,155.858,5.29769
180,154.776,5.31792
180,153.795,5.33815
180,152.92,5.35839
180,152.155,5.37863
180,151.502,5.39886
180,150.964,5.41911
180,150.544,5.43928
180,150.242,5.45951
180,150.061,5.47973
180,150,5.50003
180,150.061,5.52026
180,150.242,5.54049
180,150.544,5.56072
180,150.965,5.58095
180,151.503,5.6012
180,152.157,5.62143
180,152.922,5.64166
180,153.797,5.66189
180,154.778,5.68212
180,155.859,5.70234
180,157.039,5.72255
180,158.305,5.74268
180,159.66,5.76285
180,161.098,5.78303
180,162.616,5.80326
180,164.219,5.82368
180,165.888,5.8441
180,167.614,5.86453
180,169.396,5.88501
180,171.218,5.90543
180,173.073,5.92583
180,174.966,5.94633
180,176.873,5.96676
180,178.793,5.98719
180,180.718,6.00762
180,182.634,6.02798
180,184.543,6.04839
180,186.435,6.06881
180,188.301,6.08924
180,190.13,6.10964
180,191.921,6.13007
180,193.662,6.1505
180,195.345,6.17091
180,196.97,6.19139
180,198.522,6.21181
180,199.997,6.23224
180,201.392,6.2527
180,202.697,6.27312
180,203.903,6.29347
180,205.016,6.31387
180,206.025,6.33427
180,206.928,6.35469
180,207.717,6.37503
180,208.397,6.39547
180,208.959,6.4159
180,209.403,6.43638
180,209.724,6.45681
180,209.923,6.47718
180,209.999,6.49759
180,209.952,6.51801
180,209.782,6.53844
180,209.488,6.55887
180,209.073,6.57932
180,208.54,6.59973
180,207.888,6.62015
180,207.124,6.64051
180,206.247,6.66093
180,205.262,6.68135
180,204.172,6.70177
180,202.984,6.72218
180,201.701,6.74259
180,200.33,6.76299
180,198.88,6.78333
180,197.351,6.8037
180,195.75,6.82407
180,194.081,6.84449
180,192.354,6.8649
180,190.584,6.88523
180,188.764,6.90564
180,186.917,6.92594
180,185.035,6.94632
